Rank,Release Group,Worldwide,Domestic,%,Foreign,%
262,Detective Chinatown 3,"$2,342",-,-,"$2,342",100%
263,Goldie,"$2,302","$2,302",100%,-,-
264,The Transcendents,"$2,041","$2,041",100%,-,-
265,Gul Makai,"$2,035",-,-,"$2,035",100%
266,The Fox Hunter,"$1,577","$1,577",100%,-,-
267,Fear Pharm,"$1,157","$1,157",100%,-,-
268,The Father,"$1,108",-,-,"$1,108",100%
269,Hai Tang Hong,"$1,107","$1,107",100%,-,-
270,The Shade Shepherd,$544,$544,100%,-,-
271,Greater 2020 Re-release,$527,$527,100%,-,-
272,Spaceship Earth,$362,-,-,$362,100%
